ID;Name;First_name;Last_name;Birthdate;Age;Age_int;Age_years;Residence_municipality;Residence_Province;Gender;Marital_status;Educational_attainment;Workforce;Professional_segment;Nr_missing_values;Contract_length
3109;Marjan  Bouman;Marjan;Bouman;3-12-1935;83,28989475;83;83 jaar;Westland;Zuid-Holland;vrouw;Verweduwd;Mbo2 en mbo3;0;;0;19,07
3110;Eline van Wanrooij;Eline;van Wanrooij;26-4-1999;19,85158343;19;19 jaar;Rijswijk (ZH.);Zuid-Holland;vrouw;Ongehuwd;Basisonderwijs;0;;0;0,27
3111;Emel  Hoeben;Emel;Hoeben;5-4-1949;69,93983833;69;69 jaar;Coevorden;Drenthe;vrouw;Gehuwd;Havo, vwo;0;;0;0,09
3112;Mohamed  Hendrikx;Mohamed;Hendrikx;13-3-1966;52,99367661;52;52 jaar;Krimpenerwaard;Zuid-Holland;;;;;;4;18,74
3113;Britt  Vlasman;Britt;Vlasman;1-1-1933;86,21012166;86;86 jaar;Heusden;Noord-Brabant;vrouw;Gehuwd;Hbo-, wo-bachelor;0;;0;11,35
3114;Daniëlle van Gelderen;Daniëlle;van Gelderen;26-12-1996;22,18252064;22;22 jaar;Halderberge;Noord-Brabant;vrouw;Ongehuwd;Havo, vwo;1;033 Verkopers;0;2,85
3115;Damla van der Veer;Damla;van der Veer;27-12-1988;30,1847921;30;30 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;Ongehuwd;Hbo-, wo-master, doctor;1;022 Vakspecialisten op artistiek en c.;1;11,61
3116;Michel  Kreijkes;Michel;Kreijkes;12-4-1943;75,92673422;75;75 jaar;Arnhem;Gelderland;man;Ongehuwd;Basisonderwijs;0;;0;0,98
3117;Jan van Bilsen;Jan;van Bilsen;8-4-1966;52,92124548;52;52 jaar;Boekel;Noord-Brabant;man;Gehuwd;Mbo4;1;081 Specialisten ICT;0;1,81
3118;Naomi  Vriend;Naomi;Vriend;18-7-1998;20,62443234;20;20 jaar;Noordwijk;Zuid-Holland;vrouw;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;033 Verkopers;0;1,99
3119;Paulus  Vosters;Paulus;Vosters;29-6-1930;88,72259925;88;88 jaar;Amersfoort;Utrecht;man;Verweduwd;Vmbo-b/k, mbo1;0;;0;2,78
3120;Fatima  Wevers;Fatima;Wevers;5-3-2000;18,99001232;18;18 jaar;Hoogeveen;Drenthe;;;;;;4;0,41
3121;Nikita  Janssen;Nikita;Janssen;28-3-1980;38,94027313;38;38 jaar;Smallingerland;Friesland;vrouw;;Hbo-, wo-master, doctor;1;102 Specialisten op maatschappelijk g...;1;1,05
3122;Berend  Lodewijks;Berend;Lodewijks;1-5-1945;73,87384641;73;73 jaar;De Wolden;Drenthe;;;;;;4;22,06
3123;Laurens  Mertens;Laurens;Mertens;2-8-1960;58,6082156;58;58 jaar;Amsterdam;Noord-Holland;;Ongehuwd;;1;041 Specialisten bedrijfsbeheer en ad.;2;20,24
3124;Edward van de Laar;Edward;van de Laar;17-4-1976;42,88985071;42;42 jaar;Amsterdam;Noord-Holland;;Gescheiden;Mbo2 en mbo3;;;2;1,08
3125;Joost  Schotanus;Joost;Schotanus;25-7-1980;38,61535751;38;38 jaar;Zaanstad;Noord-Holland;man;Gehuwd;Mbo2 en mbo3;1;074 Metaalarbeiders, machinemonteurs;0;6,98
3126;Davey van de Poel;Davey;van de Poel;20-9-1986;32,45686937;32;32 jaar;Breda;Noord-Brabant;man;Ongehuwd;Vmbo-b/k, mbo1;1;104 Sociaal werkers, groeps- en woonb...;0;13,88
3127;Chantal  Greeve;Chantal;Greeve;29-8-1950;68,54230438;68;68 jaar;Amsterdam;Noord-Holland;vrouw;;Basisonderwijs;0;;1;1,72
3128;Claudia  Dielemans;Claudia;Dielemans;11-6-1951;67,75886586;67;67 jaar;Almere;Flevoland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;075 Voedselverwerkende beroepen en ov...;0;1,07
3129;Erik van Elst;Erik;van Elst;30-7-1980;38,60145354;38;38 jaar;Emmen;Drenthe;man;Ongehuwd;Hbo-, wo-master, doctor;1;104 Sociaal werkers, groeps- en woonb...;0;0,81
3130;Dieke van Vegten;Dieke;van Vegten;2-9-1997;21,4978055;21;21 jaar;Borger-Odoorn;Drenthe;;;;;;4;2,92
3131;Kees-Jan  Schutte;Kees-Jan;Schutte;17-1-1998;21,12076708;21;21 jaar;De Ronde Venen;Utrecht;;;;;;4;0,77
3132;Nicky  Veldman;Nicky;Veldman;27-6-1969;49,70046828;49;49 jaar;Amstelveen;Noord-Holland;vrouw;Gehuwd;Vmbo-b/k, mbo1;1;105 Verzorgenden;0;1,02
3133;Alicia  Evers;Alicia;Evers;2-10-1955;63,44574016;63;63 jaar;Echt-Susteren;Limburg;vrouw;;;1;131 Beroepssegment overig;2;1,57
3134;Mathilde  Boudewijns;Mathilde;Boudewijns;6-1-1957;62,17892997;62;62 jaar;Tilburg;Noord-Brabant;vrouw;Gehuwd;Vmbo-b/k, mbo1;1;043 Administratief personeel;0;20,76
3135;Jessica  Houwers;Jessica;Houwers;31-3-1997;21,92121942;21;21 jaar;Amsterdam;Noord-Holland;vrouw;Ongehuwd;;;;2;2,19
3136;Joep  Peters;Joep;Peters;19-5-1977;41,80131743;41;41 jaar;Amsterdam;Noord-Holland;man;Gehuwd;Mbo2 en mbo3;;;1;2,14
3137;Nihal  Ariëns;Nihal;Ariëns;17-6-1980;38,71969699;38;38 jaar;Rheden;Gelderland;vrouw;Ongehuwd;Mbo2 en mbo3;;;1;4,89
3138;Mariska  Vlietstra;Mariska;Vlietstra;5-7-1949;69,69216954;69;69 jaar;Venlo;Limburg;vrouw;Ongehuwd;Basisonderwijs;0;;0;2,58
3139;Erik van den Akker;Erik;van den Akker;25-8-1964;54,54059241;54;54 jaar;Barendrecht;Zuid-Holland;man;Gehuwd;;;;2;9,93
3140;Kelly  Verheul;Kelly;Verheul;25-8-1970;48,53940963;48;48 jaar;'s-Gravenhage (gemeente);Zuid-Holland;vrouw;Gehuwd;Mbo2 en mbo3;1;033 Verkopers;0;1,04
3141;Mijntje  Krook;Mijntje;Krook;23-9-1979;39,45312408;39;39 jaar;Helmond;Noord-Brabant;;;;;;4;20,55
3142;Lisa  Drok;Lisa;Drok;26-11-1989;29,27020744;29;29 jaar;Overbetuwe;Gelderland;vrouw;Ongehuwd;Mbo4;1;041 Specialisten bedrijfsbeheer en ad.;0;10,69
3143;Noa  Rongen;Noa;Rongen;24-4-1982;36,86650644;36;36 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;;;1;031 Adviseurs marketing, public relat.;3;1,41
3144;Dilay de Bruin;Dilay;de Bruin;20-2-1993;26,0322499;26;26 jaar;De Marne;Groningen;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;011 Docenten;0;4,32
3145;Rosalie  Munneke;Rosalie;Munneke;30-8-2000;18,50235358;18;18 jaar;Heumen;Gelderland;vrouw;Gehuwd;Hbo-, wo-master, doctor;1;042 Vakspecialisten bedrijfsbeheer en...;0;0,5
3146;Nadia van Ee;Nadia;van Ee;23-4-1955;63,88816455;63;63 jaar;Rotterdam;Zuid-Holland;vrouw;;;;;3;9,98
3147;Elke  Prevoo;Elke;Prevoo;11-9-1998;20,47199245;20;20 jaar;Dinkelland;Overijssel;;;;0;;3;1,89
3148;Esra  Mahabier;Esra;Mahabier;2-2-1958;61,10683094;61;61 jaar;Hardenberg;Overijssel;vrouw;Gehuwd;Basisonderwijs;;;1;20,24
3149;Sjoerd  Staals;Sjoerd;Staals;25-8-1943;75,55799431;75;75 jaar;Aalsmeer;Noord-Holland;;;;;;4;3,45
3150;Bjørn  Marijnissen;Bjørn;Marijnissen;2-12-1976;42,26209878;42;42 jaar;Schagen;Noord-Holland;man;Gehuwd;;;;2;1,2
3151;Jeroen  Haak;Jeroen;Haak;21-10-1974;44,37844734;44;44 jaar;Doetinchem;Gelderland;;;;;;4;3,34
3152;Tomas  Kosse;Tomas;Kosse;29-10-1941;77,37960465;77;77 jaar;Haarlemmermeer;Noord-Holland;man;;Basisonderwijs;0;;1;1,58
3153;Demi van der Meulen;Demi;van der Meulen;26-8-1971;47,53491973;47;47 jaar;Zaanstad;Noord-Holland;;;;;;4;11,36
3154;Isabella  Dijkstra;Isabella;Dijkstra;22-4-1986;32,87121298;32;32 jaar;Rotterdam;Zuid-Holland;;Gehuwd;;1;104 Sociaal werkers, groeps- en woonb...;2;14,29
3155;Marike  Millenaar;Marike;Millenaar;8-1-1949;70,17816433;70;70 jaar;Haarlem;Noord-Holland;vrouw;Gehuwd;Hbo-, wo-bachelor;0;;0;1,93
3156;Anne de Haan;Anne;de Haan;25-8-1962;56,5445877;56;56 jaar;Gouda;Zuid-Holland;vrouw;;;;;3;2,65
3157;Jordy  Huiskamp;Jordy;Huiskamp;25-12-1995;23,18893348;23;23 jaar;Dalfsen;Overijssel;man;Ongehuwd;Mbo4;0;;0;4,61
3158;Sem  Manders;Sem;Manders;19-1-1966;53,13754766;53;53 jaar;Dronten;Flevoland;man;Gehuwd;Hbo-, wo-bachelor;1;043 Administratief personeel;0;2,32
3159;Yasmina  Loof;Yasmina;Loof;3-10-1963;55,43788688;55;55 jaar;Tilburg;Noord-Brabant;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;1,53
3160;Henk-Jan van Soeren;Henk-Jan;van Soeren;22-6-1941;77,73359204;77;77 jaar;Reimerswaal;Zeeland;;;;;;4;8,21
3161;Marc  Barends;Marc;Barends;20-9-1965;53,47033008;53;53 jaar;Oldambt;Groningen;man;Gehuwd;Hbo-, wo-bachelor;;;1;10,31
3162;Mika te Brake;Mika;te Brake;21-9-1963;55,4705714;55;55 jaar;Westerwolde;Groningen;;;;;;4;7,53
3163;Sophia  Veldhuijzen;Sophia;Veldhuijzen;14-4-1944;74,91962413;74;74 jaar;Nijmegen;Gelderland;vrouw;Gehuwd;Mbo4;0;;0;2,22
3164;Willemijn  Berends;Willemijn;Berends;30-1-1994;25,08936156;25;25 jaar;Hof van Twente;Overijssel;;;;;;4;2,82
3165;Mart  Sijm;Mart;Sijm;11-8-1989;29,56390364;29;29 jaar;Werkendam;Noord-Brabant;man;Ongehuwd;Mbo2 en mbo3;1;031 Adviseurs marketing, public relat.;0;7,52
3166;Mexx  Goulooze;Mexx;Goulooze;25-11-1997;21,26788948;21;21 jaar;'s-Hertogenbosch;Noord-Brabant;man;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;122 Hulpkrachten transport en logistiek;0;2,69
3167;Tygo  Zeegers;Tygo;Zeegers;21-9-1974;44,46185565;44;44 jaar;Amsterdam;Noord-Holland;man;Gehuwd;Havo, vwo;1;077 Productiemachinebedieners en asse...;0;0,61
3168;Christian  Kalkhoven;Christian;Kalkhoven;8-3-1982;36,99666685;36;36 jaar;Valkenswaard;Noord-Brabant;man;Ongehuwd;Hbo-, wo-master, doctor;1;074 Metaalarbeiders, machinemonteurs;0;4,69
3169;Maria de Groot;Maria;de Groot;25-10-1958;60,37899329;60;60 jaar;Molenwaard;Zuid-Holland;;;;;;4;3,25
3170;Lenthe  Langelaar;Lenthe;Langelaar;11-1-1967;52,16090875;52;52 jaar;Westvoorne;Zuid-Holland;vrouw;Gehuwd;Hbo-, wo-bachelor;1;011 Docenten;0;1,12
3171;Indy  Schut;Indy;Schut;22-4-1984;34,8688912;34;34 jaar;Hilversum;Noord-Holland;vrouw;;Hbo-, wo-bachelor;1;043 Administratief personeel;1;16,24
3172;Antonie  Visscher;Antonie;Visscher;21-6-1965;53,71981943;53;53 jaar;Enschede;Overijssel;man;Gehuwd;Mbo4;1;074 Metaalarbeiders, machinemonteurs;0;0,89
3173;Davey  Gebbink;Davey;Gebbink;9-12-1975;43,2454815;43;43 jaar;Leiden;Zuid-Holland;man;Ongehuwd;Mbo4;1;051 Algemeen directeuren;0;4,7
3174;Reinier  Antonis;Reinier;Antonis;13-3-1960;58,99631221;58;58 jaar;Heerhugowaard;Noord-Holland;man;Gescheiden;Vmbo-b/k, mbo1;0;;0;0,47
3175;Samina  Buijsen;Samina;Buijsen;4-11-1987;31,33284976;31;31 jaar;Amersfoort;Utrecht;;;;;;4;0,5
3176;Nova de Bruin;Nova;de Bruin;20-4-1961;57,89284775;57;57 jaar;Aa en Hunze;Drenthe;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;033 Verkopers;0;2,6
3177;Irem van Schie;Irem;van Schie;22-9-1960;58,46759103;58;58 jaar;Stadskanaal;Groningen;vrouw;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;;;1;1,64
3178;Joes  Rook;Joes;Rook;1-8-1961;57,61017632;57;57 jaar;Hoogeveen;Drenthe;man;Ongehuwd;;;;2;6,9
3179;Maik  Schilders;Maik;Schilders;9-5-1992;26,81849043;26;26 jaar;Bergeijk;Noord-Brabant;man;Ongehuwd;Havo, vwo;0;;0;8,24
3180;Janneke  Degeling;Janneke;Degeling;16-10-1987;31,38451852;31;31 jaar;Teylingen;Zuid-Holland;;;;;;4;12,81
3181;Jarno van der Hout;Jarno;van der Hout;20-11-1961;57,30490848;57;57 jaar;Waalwijk;Noord-Brabant;man;Gehuwd;Hbo-, wo-bachelor;1;131 Beroepssegment overig;0;0,83
3182;Floortje  Olthof;Floortje;Olthof;15-10-1988;30,38601555;30;30 jaar;Waddinxveen;Zuid-Holland;;Ongehuwd;;;;3;11,81
3183;Cornelis  Jongkind;Cornelis;Jongkind;18-10-1999;19,37067445;19;19 jaar;Enschede;Overijssel;man;;Vmbo-b/k, mbo1;;;2;0,79
3184;Wouter  Koops;Wouter;Koops;15-10-1992;26,38161687;26;26 jaar;Leeuwarden;Friesland;man;Ongehuwd;Havo, vwo;1;112 Schoonmakers en keukenhulpen;0;2,65
3185;Katinka  Klomp;Katinka;Klomp;27-2-1964;55,03509306;55;55 jaar;Tilburg;Noord-Brabant;vrouw;Ongehuwd;Mbo2 en mbo3;1;092 Hulpkrachten landbouw;0;2,02
3186;Erkan van Sabben;Erkan;van Sabben;26-7-1998;20,6021289;20;20 jaar;Utrecht (gemeente);Utrecht;man;Ongehuwd;Vmbo-b/k, mbo1;1;122 Hulpkrachten transport en logistiek;0;2,02
3187;Lauren van Oord;Lauren;van Oord;8-3-1923;96,03669457;96;96 jaar;Berg en Dal;Gelderland;;;;;;4;9,86
3188;Elsbeth  Derks;Elsbeth;Derks;8-10-1992;26,40197854;26;26 jaar;Breda;Noord-Brabant;vrouw;Ongehuwd;Basisonderwijs;1;111 Medewerkers persoonlijke dienstve...;0;0,22
3189;Robin  Slagboom;Robin;Slagboom;20-12-1951;67,23031358;67;67 jaar;Geldermalsen;Gelderland;;;;;;4;2,58
3190;Björn  Gout;Björn;Gout;8-4-1962;56,92451055;56;56 jaar;Venray;Limburg;man;Gehuwd;Mbo2 en mbo3;1;041 Specialisten bedrijfsbeheer en ad.;0;14,93
3191;André  Nijenhuis;André;Nijenhuis;1-1-1969;50,18582421;50;50 jaar;Leudal;Limburg;man;Gehuwd;Mbo2 en mbo3;0;;0;6,81
3192;Babette  Baijens;Babette;Baijens;12-1-1962;57,15981356;57;57 jaar;Lisse;Zuid-Holland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;101 Artsen, therapeuten en gespeciali...;0;15,6
3193;Femke van Heeswijk;Femke;van Heeswijk;27-2-1992;27,01568787;27;27 jaar;Breda;Noord-Brabant;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;103 Vakspecialisten gezondheidszorg;0;8,44
3194;Dieuwke  Wagemans;Dieuwke;Wagemans;24-2-1967;52,04085693;52;52 jaar;Leeuwarden;Friesland;vrouw;;;1;043 Administratief personeel;2;4,41
3195;Jelte  Engels;Jelte;Engels;26-4-1963;55,87625457;55;55 jaar;Westervoort;Gelderland;man;Gehuwd;Basisonderwijs;1;033 Verkopers;0;19,82
3196;Serena  Wegdam;Serena;Wegdam;15-11-1965;53,31582183;53;53 jaar;Overbetuwe;Gelderland;vrouw;;;;;3;15,61
3197;Boris  Nijenhuis;Boris;Nijenhuis;18-10-1961;57,39520249;57;57 jaar;West Maas en Waal;Gelderland;man;Ongehuwd;Mbo2 en mbo3;1;043 Administratief personeel;0;6,47
3198;Melissa  Hulzebos;Melissa;Hulzebos;26-4-1987;31,85829718;31;31 jaar;Haarlemmermeer;Noord-Holland;vrouw;Ongehuwd;Mbo4;1;101 Artsen, therapeuten en gespeciali...;0;2,63
3199;Nancy  Valk;Nancy;Valk;24-4-1987;31,86529798;31;31 jaar;Breda;Noord-Brabant;;;;;;4;1,89
3200;Ruben van Tricht;Ruben;van Tricht;31-12-1989;29,17500426;29;29 jaar;Pijnacker-Nootdorp;Zuid-Holland;man;Ongehuwd;Hbo-, wo-bachelor;1;043 Administratief personeel;0;7,13
3201;Cato van der Zalm;Cato;van der Zalm;15-8-1971;47,56635461;47;47 jaar;Haaksbergen;Overijssel;vrouw;Ongehuwd;Vmbo-b/k, mbo1;1;033 Verkopers;0;0,85
3202;Dewi  Swart;Dewi;Swart;11-2-1956;63,08353364;63;63 jaar;Heemstede;Noord-Holland;anders;;;;;3;17,06
3203;Claudia  Setz;Claudia;Setz;18-2-1967;52,05483697;52;52 jaar;Almere;Flevoland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;062 Juristen;0;6,41
3204;Lisa den Hollander;Lisa;den Hollander;13-3-1964;54,99374667;54;54 jaar;Lansingerland;Zuid-Holland;;;;;;4;1,31
3205;Bryce  Visser;Bryce;Visser;15-1-1957;62,15460428;62;62 jaar;Dordrecht;Zuid-Holland;;;;;;4;1,65
3206;Jeremy  Koeleman;Jeremy;Koeleman;13-3-1965;53,99199149;53;53 jaar;Overbetuwe;Gelderland;;;;;;4;0,48
3207;Gülay  Kunst;Gülay;Kunst;6-9-1941;77,52409568;77;77 jaar;Woensdrecht;Noord-Brabant;vrouw;Gehuwd;;0;;1;1,42
3208;Kishan  Post;Kishan;Post;5-10-1977;41,42056494;41;41 jaar;Utrecht (gemeente);Utrecht;man;;;0;;2;1,33
3209;Koen  Zuidhoek;Koen;Zuidhoek;20-4-1988;30,87196202;30;30 jaar;Amsterdam;Noord-Holland;man;Gehuwd;Havo, vwo;0;;0;12,29
3210;Lotte  Bosscher;Lotte;Bosscher;24-10-1987;31,36262898;31;31 jaar;Katwijk;Zuid-Holland;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;043 Administratief personeel;0;2,39
3211;Sandra  Lange;Sandra;Lange;22-2-1976;43,0405849;43;43 jaar;Amsterdam;Noord-Holland;vrouw;Gehuwd;Mbo4;1;104 Sociaal werkers, groeps- en woonb...;0;5,06
3212;Christoffel  Duenk;Christoffel;Duenk;18-4-1955;63,90238539;63;63 jaar;Amsterdam;Noord-Holland;;Gehuwd;;;;3;1,55
3213;Shalina  Valkenburg;Shalina;Valkenburg;3-2-1977;42,08988727;42;42 jaar;Haarlem;Noord-Holland;;;;;;4;2,88
3214;Jelco  Heideman;Jelco;Heideman;30-7-1957;61,6172572;61;61 jaar;Landgraaf;Limburg;man;Gehuwd;Mbo4;1;033 Verkopers;0;20,91
3215;Kirsten van Hasselt;Kirsten;van Hasselt;22-12-1941;77,2307934;77;77 jaar;Enschede;Overijssel;vrouw;Gescheiden;Havo, vwo;0;;0;2,05
3216;Louisa  Breukel;Louisa;Breukel;4-3-1999;19,99624013;19;19 jaar;Beverwijk;Noord-Holland;;;;;;4;1,42
3217;Alicia  Heijnen;Alicia;Heijnen;23-11-1981;37,28362815;37;37 jaar;Epe;Gelderland;vrouw;;Hbo-, wo-master, doctor;;;2;2,54
3218;Yasin van der Waal;Yasin;van der Waal;21-2-1993;26,02923384;26;26 jaar;Opsterland;Friesland;man;Ongehuwd;;1;111 Medewerkers persoonlijke dienstve...;1;2,45
3219;Mandy van den Bergh;Mandy;van den Bergh;26-7-1969;49,620149;49;49 jaar;Almere;Flevoland;;;;;;4;19,25
3220;Sabrina  Niemantsverdriet;Sabrina;Niemantsverdriet;28-11-1963;55,28429562;55;55 jaar;IJsselstein;Utrecht;;;;;;4;1,19
3221;Tamara  Martens;Tamara;Martens;9-10-1962;56,42085022;56;56 jaar;Amsterdam;Noord-Holland;;;;;;4;1,77
3222;Irene de Groot;Irene;de Groot;30-9-1981;37,43226251;37;37 jaar;Tilburg;Noord-Brabant;vrouw;Verweduwd;Hbo-, wo-bachelor;1;052 Managers op administratief en com...;0;1,5
3223;Thijs de Boer;Thijs;de Boer;3-9-1973;45,51025469;45;45 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Ongehuwd;Vmbo-b/k, mbo1;1;072 Vakspecialisten natuur en techniek;0;23,57
3224;Seb  Jager;Seb;Jager;25-2-1992;27,0204317;27;27 jaar;Eersel;Noord-Brabant;man;Ongehuwd;Basisonderwijs;1;043 Administratief personeel;0;8,44
3225;Nathalie  Zoutman;Nathalie;Zoutman;1-2-1942;77,12050048;77;77 jaar;Heerenveen;Friesland;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;8,88
3226;Madelon  Bieshaar;Madelon;Bieshaar;26-10-1974;44,3670167;44;44 jaar;Hof van Twente;Overijssel;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;105 Verzorgenden;0;3,72
3227;Sam ter Huurne;Sam;ter Huurne;26-5-1934;84,81144286;84;84 jaar;Coevorden;Drenthe;man;Verweduwd;Mbo4;0;;0;18,07
3228;Lisa van Vreeswijk;Lisa;van Vreeswijk;6-1-1967;52,17322888;52;52 jaar;IJsselstein;Utrecht;;;;;;4;0,88
3229;Klaasje van Stiphout;Klaasje;van Stiphout;13-7-1947;71,67290418;71;71 jaar;Raalte;Overijssel;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;2,83
3230;Naomi  Stevens;Naomi;Stevens;4-6-1954;64,77291071;64;64 jaar;Lelystad;Flevoland;vrouw;Gescheiden;;0;;1;1,82
3231;Emma van de Gevel;Emma;van de Gevel;14-1-1962;57,15574751;57;57 jaar;Leeuwarden;Friesland;vrouw;Gehuwd;Basisonderwijs;0;;0;2,39
3232;Jean-Paul de Jong;Jean-Paul;de Jong;6-1-1977;42,16527782;42;42 jaar;Rotterdam;Zuid-Holland;man;Gehuwd;Mbo4;1;111 Medewerkers persoonlijke dienstve...;0;1,14
3233;Marco van Egmond;Marco;van Egmond;21-10-1965;53,38470685;53;53 jaar;Leeuwarden;Friesland;;;;;;4;1,3
3234;Brenda de Vries;Brenda;de Vries;13-12-1976;42,23266969;42;42 jaar;Emmen;Drenthe;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;043 Administratief personeel;0;0,56
3235;René van Schooten;René;van Schooten;19-10-1949;69,40201917;69;69 jaar;Goeree-Overflakkee;Zuid-Holland;man;Verweduwd;Mbo4;0;;0;0,64
3236;Wouter  Basten;Wouter;Basten;5-6-1980;38,7516864;38;38 jaar;Peel en Maas;Limburg;man;Gehuwd;;1;074 Metaalarbeiders, machinemonteurs;1;1,45
3237;Kenny  Mollema;Kenny;Mollema;5-11-1962;56,34736663;56;56 jaar;Voorst;Gelderland;man;Ongehuwd;Hbo-, wo-master, doctor;1;101 Artsen, therapeuten en gespeciali...;0;0,12
3238;Hajar  Kruizinga;Hajar;Kruizinga;22-3-1944;74,98225263;74;74 jaar;Amsterdam;Noord-Holland;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;2
3239;Souhaila  Romijn;Souhaila;Romijn;25-3-1948;70,97031008;70;70 jaar;Alkmaar;Noord-Holland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;031 Adviseurs marketing, public relat.;0;18,59
3240;Marjolein  Nijborg;Marjolein;Nijborg;24-11-1943;75,30928228;75;75 jaar;Geertruidenberg;Noord-Brabant;;;;;;4;2,72
3241;Jantine  Prijs;Jantine;Prijs;5-5-1996;22,82488952;22;22 jaar;Oss;Noord-Brabant;vrouw;Ongehuwd;Mbo4;1;013 Leidsters kinderopvang en onderwi.;0;4,25
3242;Mascha  Broekman;Mascha;Broekman;4-2-1968;51,09534806;51;51 jaar;'s-Gravenhage (gemeente);Zuid-Holland;vrouw;Gehuwd;Vmbo-b/k, mbo1;1;053 Managers productie en gespecialis...;0;19,75
3243;Paulina  Wolting;Paulina;Wolting;3-3-1943;76,03773063;76;76 jaar;Wijk bij Duurstede;Utrecht;;Verweduwd;;;;3;1,64
3244;Gijs  Kuijstermans;Gijs;Kuijstermans;19-8-1942;76,57453461;76;76 jaar;Nieuwkoop;Zuid-Holland;man;Gehuwd;Hbo-, wo-bachelor;0;;0;13,12
3245;Jarno  Smit;Jarno;Smit;1-9-1948;70,53405608;70;70 jaar;Utrecht (gemeente);Utrecht;man;Gehuwd;Hbo-, wo-bachelor;0;;0;5,98
3246;Youri  Cillessen;Youri;Cillessen;25-7-1962;56,62918679;56;56 jaar;Roermond;Limburg;man;Gehuwd;Mbo2 en mbo3;1;103 Vakspecialisten gezondheidszorg;0;0,2
3247;Christiaan  Vink;Christiaan;Vink;24-11-1999;19,26900511;19;19 jaar;Groningen (gemeente);Groningen;man;Ongehuwd;Mbo4;1;033 Verkopers;0;0,69
3248;Sanny van den Dungen;Sanny;van den Dungen;15-9-1945;73,49854836;73;73 jaar;Ede;Gelderland;vrouw;Gehuwd;Vmbo-b/k, mbo1;0;;0;0,79
3249;Mathijs van der Zande;Mathijs;van der Zande;18-4-1968;50,89225556;50;50 jaar;Gooise Meren;Noord-Holland;;;;;;4;5,65
3250;Judith de Regt;Judith;de Regt;27-12-1979;39,1924025;39;39 jaar;Lelystad;Flevoland;;;;;;4;1,32
3251;Tiemen van Elteren;Tiemen;van Elteren;19-8-1979;39,54983245;39;39 jaar;Barneveld;Gelderland;man;;Hbo-, wo-bachelor;;;2;10,06
3252;Nicky  Maring;Nicky;Maring;12-8-1980;38,56561834;38;38 jaar;Kampen;Overijssel;man;Gescheiden;Hbo-, wo-master, doctor;1;033 Verkopers;0;2,6
3253;Michelle van Erp;Michelle;van Erp;4-12-1947;71,27851535;71;71 jaar;Winterswijk;Gelderland;vrouw;Gescheiden;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;1,64
3254;Babette van Doesburg;Babette;van Doesburg;5-8-1993;25,57698751;25;25 jaar;Enschede;Overijssel;vrouw;;Vmbo-b/k, mbo1;;;2;0,61
3255;Nick van Gemeren;Nick;van Gemeren;22-7-1976;42,62626869;42;42 jaar;Apeldoorn;Gelderland;;;;;;4;1,14
3256;Luuk  Bressers;Luuk;Bressers;4-6-1956;62,7699465;62;62 jaar;Hilversum;Noord-Holland;man;Gehuwd;;1;073 Bouwarbeiders;1;1,56
3257;Nick  Vos;Nick;Vos;8-2-1977;42,07613304;42;42 jaar;Capelle aan den IJssel;Zuid-Holland;man;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;043 Administratief personeel;0;2,06
3258;Natasja  Weening;Natasja;Weening;14-7-1944;74,67055911;74;74 jaar;Amsterdam;Noord-Holland;vrouw;Gehuwd;Vmbo-b/k, mbo1;0;;0;3,1
3259;Chris  Haarhuis;Chris;Haarhuis;29-4-1991;27,84819783;27;27 jaar;Rhenen;Utrecht;man;Ongehuwd;Hbo-, wo-bachelor;1;112 Schoonmakers en keukenhulpen;0;1
3260;Rico  Verhoef;Rico;Verhoef;12-4-1964;54,91023798;54;54 jaar;Steenwijkerland;Overijssel;man;;;;;3;14
3261;Danny  Top;Danny;Top;13-3-1968;50,98958463;50;50 jaar;Amsterdam;Noord-Holland;man;Gehuwd;Hbo-, wo-bachelor;1;073 Bouwarbeiders;0;4,56
3262;Bora  Kanters;Bora;Kanters;28-11-1953;65,28774629;65;65 jaar;Ermelo;Gelderland;;;;;;4;4,62
